category	question	answer
Returns and cancellations	How do I return my product if I have changed my mind?	"Find easy-to-follow instructions to return your smaller or larger items from your online order on our dedicated returns page.

**Smaller items**  \n**e.g. Phones, Tablets, Watches, TVs and Monitors 43” or under, Microwaves, Vacuums and Soundbars etc.**  \n  \nIf you are returning the item(s) because you cancelled the contract between us within the 14-day cooling off period, you are responsible for the cost of returning the item(s) to us.   \n  \nWe can provide you with a returns label for you to affix to the package and you can take the package to your nearest DPD drop-off point (“**Drop-off Return**”). The cost of the Drop-off Return will be passed onto you at the following rate (“**Drop-off Return Costs**”):   \n\n\n\n\n\n| **Product** | **Drop-off Return Costs** |\n| --- | --- |\n| Smaller items (e.g. Phones, Tablets, Watches, TVs and Monitors 43” or under, Microwaves, Vacuums and Soundbars etc) | £5.99 |\n\n\n**Larger items**  \n**e.g. TVs and monitors over 43”, Fridges, Washing Machines etc.**  \n  \nFor large items, where you cancel your contract because you have changed your mind during the 14 day cooling-off period, our customer service team can arrange for our courier to come and collect the large item(s) from you. We will pass the collection costs onto you at the following rate (“**Collection Costs**”):  \n\n\n\n\n\n**Collection costs by location**\n\n\n\n\nCollection costs by location\n| **From address in UK (Excluding Northern Ireland and Isle of Man)** | **From address in Northern Ireland or Isle of Man** |\n| --- | --- |\n| £50 | £100 |\n\n\nPlease note, collection will only be available from the original delivery address.  \n  \nIf you paid for your product(s) using a debit/credit card, PayPal, PayPal Credit, or Klarna finance, the Collection Costs or Drop-off Return Costs (as applicable) will be deducted from your refund automatically. If you paid using Samsung Finance, we will send you a link to make payment of the Collection Costs or Drop-off Return Costs (as applicable).  \n  \nYou must send back the products (or, where you have arranged with us to collect the product(s), make them available for collection) no later than 14 days after you contact us to cancel your contract.  \n  \nIf you believe your product is faulty, you have up to 30 days from delivery to confirm whether you require a repair, replacement or refund. After 30 days, please [contact us](https://samsung.com/uk/support/contact/) to discuss your options. You will not be charged for the collection or return of a faulty product, unless when tested no defect is found with the product(s).\n\n\n\n\nOther frequently asked questions\n--------------------------------\n\n**[What is the returns period?](https://samsung.com/uk/shop-faq/returns-and-cancellations/what-is-the-returns-period/)**  \n**[Can I change an order?](https://samsung.com/uk/shop-faq/returns-and-cancellations/can-i-change-an-order/)**  \n**[How do I return my product if I have changed my mind?](https://samsung.com/uk/shop-faq/returns-and-cancellations/how-do-I-return-my-product-if-I-have-changed-my-mind/)**  \n**[What should I do if my product is damaged on delivery?](https://samsung.com/uk/shop-faq/returns-and-cancellations/what-should-I-do-if-my-product-is-damaged-on-delivery/)**  \n**[Will I receive a full refund?](https://samsung.com/uk/shop-faq/returns-and-cancellations/will-I-receive-a-full-refund/)**  \n\n\n\n\n\n#### Style override for FAQ links\n\n\nIs this content helpful?\n------------------------\n\nYes\n\n\nNo\n\n\n\n\nSubmit\n\n\nThank you. Glad we were able to help. Your feedback helps us provide better support.\n------------------------------------------------------------------------------------\n\n\n\n\n[\nAll FAQs\n](https://samsung.com/uk/shop-faq/#returns-and-cancellations)\n\n\n\nStill need help? We’ve got you\n------------------------------\n\nStill need help? We’ve got you\n------------------------------\n\nWe’re still here to help get you the answers you need, whether that’s how to track the delivery of your product, troubleshooting or just some useful tips. And, if that’s not what you need, you can find other ways to talk to us too.\n\n[\nContact us\n](https://samsung.com/uk/support/contact/)\n\n\n\n\n\n\n\n\n* [\n  Home\n  Home\n  ](https://samsung.com/uk/)\n* [\n  Shop FAQ\n  Shop FAQ\n  ](https://samsung.com/uk/shop-faq/)\n* [\n  Returns and Cancellations\n  Returns and Cancellations\n  ](https://samsung.com/uk/shop-faq/returns-and-cancellations/)\n* **If i am to post an item back do i have to pay for the postage**\n  **If i am to post an item back do i have to pay for the postage**\n\n\n\n\n\n\n### how-do-I-return-my-product-if-I-have-changed-my-mind \n\n* [\n  \n  ![samsung account icon](https://images.samsung.com/is/image/samsung/assets/consumer/global/shop-faq/shop-faq_category_tab-samsung-account_pc.png)\n  Samsung Account\n  ](https://samsung.com/uk/shop-faq/samsung-account/)\n* [\n  \n  ![Orders and Products icon](https://images.samsung.com/is/image/samsung/assets/consumer/global/shop-faq/shop-faq_category_tab-products-and-orders_pc.png)\n  Orders and Products\n  ](https://samsung.com/uk/shop-faq/products-and-orders/)\n* [\n  \n  ![payment and finance icon](https://images.samsung.com/is/image/samsung/assets/consumer/global/shop-faq/shop-faq_category_tab-payment-and-financing_pc.png)\n  Payment and Finance\n  ](https://samsung.com/uk/shop-faq/payment-and-financing/)\n* [\n  \n  ![delivery and installation icon](https://images.samsung.com/is/image/samsung/assets/consumer/global/shop-faq/shop-faq_category_tab-delivery-and-installations_pc.png)\n  Delivery and Installation\n  ](https://samsung.com/uk/shop-faq/delivery-and-installations/)\n* [\n  \n  ![returns and cancellations icon](https://images.samsung.com/is/image/samsung/assets/uk/shop-faq/returns-and-cancellations/how-do-i-return-my-product-if-i-have-changed-my-mind/shop-faq_category_tab-returns-and-cancellations_pc.png)\n  Returns and Cancellations\n  ](https://samsung.com/uk/shop-faq/returns-and-cancellations/)\n* [\n  \n  ![service and warranty icon](https://images.samsung.com/is/image/samsung/assets/consumer/global/shop-faq/shop-faq_category_tab-service-and-warranty_pc.png)\n  Service and Warranty\n  ](https://samsung.com/uk/shop-faq/service-and-warranty/)\n* [\n  \n  ![samsung care plus icon](https://images.samsung.com/is/image/samsung/assets/consumer/global/shop-faq/shop-faq_category_tab-samsung-care-plus_pc.png)\n  Samsung Care+\n  ](https://samsung.com/uk/shop-faq/samsung-care-plus/)\n\n\n\n\n\n\nHow do I return my product if I have changed my mind?\n-----------------------------------------------------\n\n\n\n\n---\n\n\n\n\n**Smaller items  \ne.g. Phones, Tablets, Watches, TVs and Monitors 43” or under, Microwaves, Vacuums and Soundbars etc.**  \n  \nWe can provide you with a returns label for you to affix to the package and you can take the package to your nearest DPD drop-off point (“**Drop-off Return**”). The cost of the Drop-off Return will be passed onto you at the following rate (“**Drop-off Return Costs**”):\n\n\n\n\n \n| Product | Drop-off Return Costs |\n| --- | --- |\n| Smaller items (e.g. Phones, Tablets, Watches, TVs and Monitors 43” or under, Microwaves, Vacuums and Soundbars etc.) | **£5.99** |\n\n\n1. Contact us to obtain a return label  \n2. Package the device carefully and include any accessories or bundled promotional items you received with your order (whether free or discounted)  \n3. Seal the package and affix the returns label  \n4. Take the package to your nearest [DPD drop-off point](https://www.dpd.co.uk/apps/shopfinder/index.jsp)  \n  \nPlease note: You must return goods without undue delay and in any event within 14 days of requesting a return. If you send us your item(s) after 14 days has passed, we reserve the right to refuse your return.\n\n\n\n\n**Larger items (Large Displays and Home Appliances)**  \n**e.g. TVs & Monitors over 43”, Fridges and Freezers, Dishwashers, Ovens and Hobs, Washing Machines, Tumble Dryers etc.**  \n  \n\n\nLarger items need to be collected, you can contact us to **arrange a collection** via our courier. You will need your order ID and delivery details to hand. We will arrange for our courier to come and collect the larger item from you and pass the collection charge onto you at the following rate (“**Collection Costs**”):  \n\n\n\n\n\n**Collection costs by location**  \n\n\n\n\n\n \n| Address in UK (Excluding Northern Ireland and Isle of Man) | Address in Northern Ireland or Isle of Man |\n| --- | --- |\n| £50 | **£100** |\n\n\n  \n Please note, collection will only be available from the original delivery address.  \n   \n If you paid for your product(s) using a debit/credit card, PayPal, PayPal Credit, or Klarna finance, the Collection Costs or Drop-off Return Costs (as applicable) will be deducted from your refund automatically. If you paid using Samsung Finance, we will send you a link to make payment of the Collection Costs or Drop-off Returns Costs (as applicable).  \n   \n Please securely package your item in the original packaging, along with any bundled or promotional items you received with your order (whether free or discounted).  \n   \n Once we have received your returned order, we will process a refund or exchange as set out in the [Terms and Conditions of Sale](https://samsung.com/uk/estore/static/link_terms_and_conditions_of_sale/). We will email confirmation that your return has been received, and again, when it has been processed.  \n   \n All returns can take up to 14 days to process. If you have not received confirmation of your return after 14 days, please contact us.  A Customer Support agent will be in touch, if we require any further information to process your return.  \n   \n If you choose to send the product(s) back to us via another method, you are able to do this but you must ensure that the product(s) are sent back securely and safely, and with suitable insurance cover. You will be responsible for any damage caused to the product(s) in transit and we may reduce the full amount of your refund to reflect the reduction in the value of the product(s) caused by the damage.  \n\n\n  \n\n  \n **Please note:**  \n   \n - Refunds can only be made to the original payment method  \n - A full refund will not be provided (and a reduced amount refunded instead) if:  \n   \n\n\na) you have handled the product more than if you were reviewing it in a retail store before purchase (e.g. you have used it more than is necessary to establish its nature, characteristics and functioning). Including if you have installed the product(s), connected the product(s) to services such as water or gas, or inputted any data, or installed software. We will make a minimum of 20% deduction from your refund for the reduction in value of the product(s). This reflects the minimum reduction in the value of the product caused by this handling;  \n b) the product(s) are not returned in an as new condition with all original packaging, accessories, and any free of charge products supplied with the product(s). We will reduce the refund amount to reflect the value of any accessories or free of charge products not returned; and  \n c) the products(s) are returned damaged"
Returns and cancellations	Can I cancel my order?	"Find out more about our flexible cancellation options. Cancel your order before it's dispatched, or return it within 14 days after delivery.

You can cancel your online order as long as it hasn't already been dispatched.  \n  \nDispatch times vary, and can be as fast as 60 minutes from ordering, but are longer for BESPOKE and customised products, as well as bulkier items.  \n  \nIf your order has already been dispatched, you will have 14 days to [return](https://samsung.com/uk/shop-faq/returns-and-cancellations/how-do-I-return-my-product-if-I-have-changed-my-mind/) it to us after it has been delivered.  \n  \nTo cancel your order, just follow these simple instructions.\n\n\n\n\nHow to cancel your order\n------------------------\n\n**If you are a guest user**  \n  \n1. Go to [Order Look Up ](https://shop.samsung.com/uk/mypage/orders) to easily update your order  \n2. Enter your **order number** and **email address**  \n3. Click the **cancel** button next to the relevant order  \n   \nIf the option to cancel isn’t available, your order is on its way and cannot be changed. You will have **14 days** to [return](https://samsung.com/uk/shop-faq/returns-and-cancellations/how-do-I-return-my-product-if-I-have-changed-my-mind/) your order to us from the day you receive it.  \n  \n**If you have an account**  \n  \n1. Sign in to your [account](https://samsung.com/uk/mypage-intro/)  \n2. Go to your [Orders](https://samsung.com/uk/mypage/orders/) page and enter your **order number**  \n3. Click the **cancel button** next to the relevant order  \n   \nIf the option to cancel isn’t available, your order is on its way and cannot be changed. You will have **14 days** to [return](https://samsung.com/uk/shop-faq/returns-and-cancellations/how-do-I-return-my-product-if-I-have-changed-my-mind/) your order to us from the day you receive it.  \n  \nAlternatively, you can [contact us](https://samsung.com/uk/support/contact/), and a member of our Customer Support team will be happy to help."
Returns and cancellations	Will I receive a full refund?	"Click below to find out Samsung's Returns Policy, including any refund conditions or collection charges that may apply.

To receive a full refund for a returned product, you must return it in ‘as new’ condition, together with all original packaging, accessories and free of charge items.  \n  \n**Please note**: If you have changed your mind, you will be required to pay the cost of returning the item(s) to us. You can find out more about this [here](https://samsung.com/uk/shop-faq/returns-and-cancellations/if-i-am-to-post-an-item-back-do-i-have-to-pay-for-the-postage/) and any further information in our [Returns Policy](https://samsung.com/uk/shop-faq/returns-and-cancellations/what-is-the-returns-period/).  \n  \nProducts that are returned damaged will not be accepted, unless you reported them as having arrived damaged or the product is faulty.  \n  \nIf you believe your product is faulty, you have up to 30 days from delivery to confirm whether you require a repair, replacement or refund. After 30 days, please [contact us](https://samsung.com/uk/support/contact/) to discuss your options.  \n  \nIf you are returning a product(s) because you changed your mind during the 14 day cooling-off period, we will apply a minimum of 20% reduction if you have handled the product more than if you were reviewing it in a retail store before purchase (e.g. you have used it more than is necessary to establish its nature, characteristics and functioning). This reflects the minimum reduction in the value of the product caused by this handling.  \n  \nWe may also reduce the refund amount to reflect the value of any accessories or free of charge products not returned.  \n\n\n\n\n\n**An example of reductions that may apply:**  \n\n\n\n\n\n| Reason | Partial Refund Amount |\n| --- | --- |\n| Free of charge item is not returned | You will receive your refund minus the free of charge item value. |\n| Installed the product | Minimum 20% reduction from your refund if you have installed the product(s), or connected the product(s) to services such as water or gas. |\n| Used the product | Minimum 20% reduction from your refund if you have inputted any data, installed software onto the product or if earbuds/earphones have been used. |\n\n\nIf you return your product(s) because you changed your mind during the 14 day cooling-off period, you are responsible for the cost of returning the product(s) to us. We will reduce the refund amount to reflect any return costs passed onto you. Please see our [Returns Policy for more information](https://samsung.com/uk/estore/static/link_terms_and_conditions_of_sale/#tmc-ten).  \n  \nWe will notify you of your refund via e-mail within a reasonable period of time, usually within five to ten working days of receiving your return, and refunds are made to the same payment method you used for purchase.  "
Returns and cancellations	What should I do if my product is faulty?	"If you believe your product is faulty, please contact us within 30 days of delivery to confirm whether you require a repair, replacement or refund.

If you are having difficulty using any of our products, you can use our [troubleshooting](https://samsung.com/uk/support/repair/) tool or helpful [support guides](https://samsung.com/uk/support/) to find the appropriate solution yourself.  \n  \nYou can also search the [Samsung Community](https://eu.community.samsung.com/) for answers, or post a question yourself.  \n  \nIf you believe your product is faulty, then please contact us within 30 days of delivery to confirm whether you require a repair, replacement or refund.   \n  \nAfter 30 days, please [contact us](https://samsung.com/uk/support/contact/#shop-support) to discuss your options.  \n  \nPlease see [If your product is damaged on delivery](https://www.samsung.com/uk/shop-faq/returns-and-cancellations/what-should-I-do-if-my-product-is-damaged-on-delivery/) for instructions on what you must do if your product(s) arrives damaged."
Returns and cancellations	What should I do if my product is damaged on delivery?	"If your product arrives damaged, let us know as soon as possible. Visible damage must be reported within 72 hours to discuss your options.

If your item arrives damaged, it’s important you let us know as soon as possible. For damage that can be seen (e.g. to the packaging or outside of the product), you must contact us within 72 hours of delivery. Our Customer Support team will discuss your options for a refund or exchange.  \n  \nAny damage not reported to us within 72 hours will be determined to have been caused by your handling of the product(s), unless it can be proven otherwise. We may reduce the amount of any refund to reflect the reduction in the value of the product(s) caused by the damage.  \n  \nIf you believe your product is faulty, you have up to 30 days from delivery to confirm whether you require a repair, replacement or refund.   \n  \nAfter 30 days, please [contact us](https://samsung.com/uk/support/contact/) to discuss your options "
Returns and cancellations	What do I have to return?	"The items you have to return depends on the order contents, and in the case of multiple items, whether any were free gifts or discounted items.

The items you have to return depends on whether you ordered a single item or multiple items, and in the case of multiple items, whether any were free gifts or discounted items as part of a bundle deal.   \n  \n**Single item orders**  \nIf you ordered a single item and received nothing else, then simply return that item in its box, including any accessories and documentation contained within.   \n  \n**Phone contracts**  \nIf you ordered a phone with an inclusive network contract and SIM card, all items must be returned to us within 14 days. For more information, please visit the [Phone Contracts page](https://samsung.com/uk/pay-monthly-contract/).  \n  \n**Free gifts**  \nIf you ordered an item that came with a free gift(s), then it must be returned along with the original item(s) you ordered. Charges may apply if you fail to return any free gifts you received with your purchase.  \n  \n**Cashback offers**  \nIf you are returning an item(s) and received cashback on your order, please note that the full amount of cashback will be retrieved from your chosen payment method, once your return has been processed.  \n  \n**Bundle deals**  \nAll items purchased as part of a bundle deal that benefitted from a discount to either the original item, the additional item(s) or both, must be returned along with the original item. Charges may apply if you fail to return any items that formed part of the bundle deal. If you still wish to purchase any of the individual items in your order, you must place a new order for the item you want.  \n  \n**Multiple full price items**  \nIf you ordered multiple items that weren’t part of a bundle deal or you paid full price for each item, you do not need to return anything other than the items you indicated are to be returned, along with any in-box accessories and documentation."
Returns and cancellations	If I am to post an item back, do I have to pay for the postage?	"If you have changed your mind about the product, then you will be required to pay the cost of returning the item(s) to us. This does not apply to faulty or damaged items.

**Smaller items**  \n**e.g. Phones, Tablets, Watches, TVs and Monitors 43” or under, Microwaves, Vacuums and Soundbars etc.**  \n  \nIf you are returning the item(s) because you cancelled the contract between us within the 14-day cooling off period, you are responsible for the cost of returning the item(s) to us.   \n  \nWe can provide you with a returns label for you to affix to the package and you can take the package to your nearest DPD drop-off point (“**Drop-off Return**”). The cost of the Drop-off Return will be passed onto you at the following rate (“**Drop-off Return Costs**”):   \n\n\n\n\n\n| **Product** | **Drop-off Return Costs** |\n| --- | --- |\n| Smaller items (e.g. Phones, Tablets, Watches, TVs and Monitors 43” or under, Microwaves, Vacuums and Soundbars etc) | £5.99 |\n\n\n**Larger items**  \n**e.g. TVs and monitors over 43”, Fridges, Washing Machines etc.**  \n  \nFor large items, where you cancel your contract because you have changed your mind during the 14 day cooling-off period, our customer service team can arrange for our courier to come and collect the large item(s) from you. We will pass the collection costs onto you at the following rate (“**Collection Costs**”):  \n\n\n\n\n\n**Collection costs by location**\n\n\n\n\nCollection costs by location\n| **From address in UK (Excluding Northern Ireland and Isle of Man)** | **From address in Northern Ireland or Isle of Man** |\n| --- | --- |\n| £50 | £100 |\n\n\nPlease note, collection will only be available from the original delivery address.  \n  \nIf you paid for your product(s) using a debit/credit card, PayPal, PayPal Credit, or Klarna finance, the Collection Costs or Drop-off Return Costs (as applicable) will be deducted from your refund automatically. If you paid using Samsung Finance, we will send you a link to make payment of the Collection Costs or Drop-off Return Costs (as applicable).  \n  \nYou must send back the products (or, where you have arranged with us to collect the product(s), make them available for collection) no later than 14 days after you contact us to cancel your contract.  \n  \nIf you believe your product is faulty, you have up to 30 days from delivery to confirm whether you require a repair, replacement or refund. After 30 days, please [contact us](https://samsung.com/uk/support/contact/) to discuss your options. You will not be charged for the collection or return of a faulty product, unless when tested no defect is found with the product(s)."
Returns and cancellations	I informed you that I wanted to return an item during the 14-day returns period, but was unable to send it during this time. Am I still able to return it?	"Yes. In cases where exceptional circumstances prevented you from returning your product(s) within 14 days, you can still return it.

Yes. In cases where exceptional circumstances prevented you from returning your product(s) within 14 days, you can still return it, as long as you let us know during that time.  \n  \nIf you believe your product is faulty, you have up to 30 days from delivery to confirm whether you require a repair, replacement or refund. After 30 days, please [contact us](https://samsung.com/uk/support/contact/) to discuss your options."
Delivery and installations	Do you offer installation across the UK?	"Installation services are available across mainland UK, excluding NI, Channel Islands, and Scottish Islands.

We’re pleased to offer a variety of delivery and installation services across mainland UK.

Unfortunately, we are currently unable to offer installation services in Northern Ireland, only delivery within 2-5 days. We are also unable to offer any delivery or installation services in the Channel Islands or Scottish Islands.

Installation costs vary depending on the size of the item to be installed and the level of installation required. This cost will be confirmed when you check out.

You’ll find the various delivery and installation options for each product type below.

Mobile products and laptops
Delivery only
We don’t offer installation for smaller items, like mobile phones, tablets, or laptops etc. but please see our handy How-To guides for help setting up your new Galaxy.

Televisions
Delivery & set-up
We’ll deliver and unpack your new TV, and then attach it to its stand. Please note this option does not include wall mounting or any connections.

Delivery, set-up & wall mounting
Our courier partners will deliver your new television, and then our specialised installation team will unpack, set up and wall mount your new TV. Please be aware that you must have already bought a wall mount. You can browse available options on Samsung.com here. This option does not include concealing the cables of your new TV in the wall.

Delivery, setup, wall mounting (cables concealed) & connect AV
Our courier partners will deliver your new television, and then our specialised installation team will unpack, set up and wall mount your new TV, before concealing the cables in the wall. They will also connect up to two AV devices. Please be aware that you must have already purchased a wall mount. You can browse available options on Samsung.com here.

Home Appliances
Installation & disposal of old appliance
We’ll deliver your new Samsung appliance, and then collect and recycle your old one. Please make sure your old appliance has been drained of water (where applicable) and uninstalled, and that it is easily accessible for our team to collect.

Dry installation
We’ll deliver your new Samsung appliance and carry it to the room where it will be installed, and position it, ready to be connected to your local utilities. We’ll also remove all packaging, if you desire.

Wet installation – standard service
We’ll deliver your new Samsung Washing Machine or American Side-By-Side Fridge, and then connect them to your local utilities for you.

Any old appliances must have been disconnected and removed before we can start the installation. Disconnection and removal of your old appliance is not included in this installation option. Please select the premium service below if you want to have your old appliance disconnected and recycled.

Wet installation - premium service
We’ll deliver your new Samsung Washing Machine or American Side-By-Side Fridge, and then disconnect and remove your old appliance, before installing your new one. We’ll then connect your new appliance to your local utilities for you, before taking your old appliance away for recycling.

Please note: our delivery and installation team are only permitted to climb a maximum of three flights of stairs, if an elevator isn’t available."
Delivery and installations	How much does installation cost?	"Installation costs vary depending on the appliance and service required. You can select the delivery, recycling, and installation options and confirm their cost in checkout.

We’re pleased to offer a variety of delivery and installation services across mainland UK.

Unfortunately, we are currently unable to offer installation services in Northern Ireland, only delivery within 2-5 days. We are also unable to offer any delivery or installation services in the Channel Islands or Scottish Islands.

Installation costs vary depending on the size of the item to be installed and the level of installation required. This cost will be confirmed when you check out.

You’ll find the various delivery and installation options for each product type below.

Mobile products and laptops
Delivery only
We don’t offer installation for smaller items, like mobile phones, tablets, or laptops etc. but please see our handy How-To guides for help setting up your new Galaxy.

Televisions
Delivery & set-up
We’ll deliver and unpack your new TV, and then attach it to its stand. Please note this option does not include wall mounting or any connections.

Delivery, set-up & wall mounting
Our courier partners will deliver your new television, and then our specialised installation team will unpack, set up and wall mount your new TV. Please be aware that you must have already bought a wall mount. You can browse available options on Samsung.com here. This option does not include concealing the cables of your new TV in the wall.

Delivery, setup, wall mounting (cables concealed) & connect AV
Our courier partners will deliver your new television, and then our specialised installation team will unpack, set up and wall mount your new TV, before concealing the cables in the wall. They will also connect up to two AV devices. Please be aware that you must have already purchased a wall mount. You can browse available options on Samsung.com here.

Home Appliances
Installation & disposal of old appliance
We’ll deliver your new Samsung appliance, and then collect and recycle your old one. Please make sure your old appliance has been drained of water (where applicable) and uninstalled, and that it is easily accessible for our team to collect.

Dry installation
We’ll deliver your new Samsung appliance and carry it to the room where it will be installed, and position it, ready to be connected to your local utilities. We’ll also remove all packaging, if you desire.

Wet installation – standard service
We’ll deliver your new Samsung Washing Machine or American Side-By-Side Fridge, and then connect them to your local utilities for you.

Any old appliances must have been disconnected and removed before we can start the installation. Disconnection and removal of your old appliance is not included in this installation option. Please select the premium service below if you want to have your old appliance disconnected and recycled.

Wet installation - premium service
We’ll deliver your new Samsung Washing Machine or American Side-By-Side Fridge, and then disconnect and remove your old appliance, before installing your new one. We’ll then connect your new appliance to your local utilities for you, before taking your old appliance away for recycling.

Please note: our delivery and installation team are only permitted to climb a maximum of three flights of stairs, if an elevator isn’t available."
Delivery and installations	Can you install my appliance on a different day to delivery?	"Installation cannot be scheduled separately from delivery. The same team will handle both services on the same day.

We’re pleased to offer a variety of delivery and installation services across mainland UK.

Unfortunately, we are currently unable to offer installation services in Northern Ireland, only delivery within 2-5 days. We are also unable to offer any delivery or installation services in the Channel Islands or Scottish Islands.

Installation costs vary depending on the size of the item to be installed and the level of installation required. This cost will be confirmed when you check out.

You’ll find the various delivery and installation options for each product type below.

Mobile products and laptops
Delivery only
We don’t offer installation for smaller items, like mobile phones, tablets, or laptops etc. but please see our handy How-To guides for help setting up your new Galaxy.

Televisions
Delivery & set-up
We’ll deliver and unpack your new TV, and then attach it to its stand. Please note this option does not include wall mounting or any connections.

Delivery, set-up & wall mounting
Our courier partners will deliver your new television, and then our specialised installation team will unpack, set up and wall mount your new TV. Please be aware that you must have already bought a wall mount. You can browse available options on Samsung.com here. This option does not include concealing the cables of your new TV in the wall.

Delivery, setup, wall mounting (cables concealed) & connect AV
Our courier partners will deliver your new television, and then our specialised installation team will unpack, set up and wall mount your new TV, before concealing the cables in the wall. They will also connect up to two AV devices. Please be aware that you must have already purchased a wall mount. You can browse available options on Samsung.com here.

Home Appliances
Installation & disposal of old appliance
We’ll deliver your new Samsung appliance, and then collect and recycle your old one. Please make sure your old appliance has been drained of water (where applicable) and uninstalled, and that it is easily accessible for our team to collect.

Dry installation
We’ll deliver your new Samsung appliance and carry it to the room where it will be installed, and position it, ready to be connected to your local utilities. We’ll also remove all packaging, if you desire.

Wet installation – standard service
We’ll deliver your new Samsung Washing Machine or American Side-By-Side Fridge, and then connect them to your local utilities for you.

Any old appliances must have been disconnected and removed before we can start the installation. Disconnection and removal of your old appliance is not included in this installation option. Please select the premium service below if you want to have your old appliance disconnected and recycled.

Wet installation - premium service
We’ll deliver your new Samsung Washing Machine or American Side-By-Side Fridge, and then disconnect and remove your old appliance, before installing your new one. We’ll then connect your new appliance to your local utilities for you, before taking your old appliance away for recycling.

Please note: our delivery and installation team are only permitted to climb a maximum of three flights of stairs, if an elevator isn’t available."
Delivery and installations	Do you uninstall and remove TVs and large appliances when you install a new one?	"We do not uninstall televisions, but we do offer various installation packages. Find out more below.

TV installation options
We do not uninstall televisions, but we do offer various installation packages, as shown below:

Delivery and mount on TV stand
We will deliver, unpack, setup and place your new TV onto a stand. Please note, this option does not include wall mounting or a demo.

Delivery, set-up and wall mount
We will deliver, unpack, set up, and wall mount your new TV. Please note this option does not include the purchase of a wall mount. You can either add one to your order, purchase one from another retailer, or our installation partner will have them for sale on the day. If you have the necessary trunking, they can conceal the cables of your new TV as well, for an additional charge.

Home Appliance installation options
Installation and disposal of old appliance
We will disconnect your old appliance, before unpacking and installing your new one in a room of your choosing. We will then remove your old appliance and all packaging for recycling.

Dry fit services
We will disconnect and connect any plugs on products in your chosen room. This option does not include any wiring or the installation of additional power outlets.

Wet fit for washing machines and dishwasher
We will install your new appliance and connect it to an existing plumbing connection in your chosen room. Please note that we cannot proceed with any plumbing work if the existing configuration is not suitable."
Delivery and installations	If I order two products, do I have to pay for installation twice?	"Yes, you will need to select the installation service for each product you order and confirm their cost at checkout.

We’re pleased to offer a variety of delivery and installation services across mainland UK.

Unfortunately, we are currently unable to offer installation services in Northern Ireland, only delivery within 2-5 days. We are also unable to offer any delivery or installation services in the Channel Islands or Scottish Islands.

Installation costs vary depending on the size of the item to be installed and the level of installation required. This cost will be confirmed when you check out.

You’ll find the various delivery and installation options for each product type below.

Mobile products and laptops
Delivery only
We don’t offer installation for smaller items, like mobile phones, tablets, or laptops etc. but please see our handy How-To guides for help setting up your new Galaxy.

Televisions
Delivery & set-up
We’ll deliver and unpack your new TV, and then attach it to its stand. Please note this option does not include wall mounting or any connections.

Delivery, set-up & wall mounting
Our courier partners will deliver your new television, and then our specialised installation team will unpack, set up and wall mount your new TV. Please be aware that you must have already bought a wall mount. You can browse available options on Samsung.com here. This option does not include concealing the cables of your new TV in the wall.

Delivery, setup, wall mounting (cables concealed) & connect AV
Our courier partners will deliver your new television, and then our specialised installation team will unpack, set up and wall mount your new TV, before concealing the cables in the wall. They will also connect up to two AV devices. Please be aware that you must have already purchased a wall mount. You can browse available options on Samsung.com here.

Home Appliances
Installation & disposal of old appliance
We’ll deliver your new Samsung appliance, and then collect and recycle your old one. Please make sure your old appliance has been drained of water (where applicable) and uninstalled, and that it is easily accessible for our team to collect.

Dry installation
We’ll deliver your new Samsung appliance and carry it to the room where it will be installed, and position it, ready to be connected to your local utilities. We’ll also remove all packaging, if you desire.

Wet installation – standard service
We’ll deliver your new Samsung Washing Machine or American Side-By-Side Fridge, and then connect them to your local utilities for you.

Any old appliances must have been disconnected and removed before we can start the installation. Disconnection and removal of your old appliance is not included in this installation option. Please select the premium service below if you want to have your old appliance disconnected and recycled.

Wet installation - premium service
We’ll deliver your new Samsung Washing Machine or American Side-By-Side Fridge, and then disconnect and remove your old appliance, before installing your new one. We’ll then connect your new appliance to your local utilities for you, before taking your old appliance away for recycling.

Please note: our delivery and installation team are only permitted to climb a maximum of three flights of stairs, if an elevator isn’t available."
